tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
0,1,0,0,11645,0,0,1,5,0,0,1,Romania,,0,0,3.3534540576794097E-4,0,1
1,3,0,0,11643,0,0,3,11,0,0,1,Romania,,0,0,0.001006036217303823,0,3
2,4,0,0,11642,0,0,4,15,0,0,1,Romania,,0,0,0.0013413816230717639,0,4
3,6,0,0,11640,0,0,6,19,0,0,1,Romania,,0,0,0.002012072434607646,0,6
4,6,0,0,11640,0,0,6,23,0,0,1,Romania,,0,0,0.002012072434607646,0,6
5,7,0,0,11639,0,0,7,29,0,0,1,Romania,,0,0,0.002347417840375587,0,7
6,8,0,0,11638,0,0,8,32,0,0,1,Romania,,0,0,0.0026827632461435278,0,8
7,11,0,0,11635,0,0,11,36,0,0,1,Romania,,0,0,0.003688799463447351,0,11
8,13,0,0,11633,0,0,13,41,0,0,1,Romania,,0,0,0.004359490274983233,0,13
9,14,0,0,11632,0,0,14,46,0,0,1,Romania,,0,0,0.004694835680751174,0,14
10,15,0,0,11631,0,0,15,48,0,0,1,Romania,,0,0,0.005030181086519115,0,15
11,16,0,0,11630,0,0,16,53,0,0,2,Romania,,0,0,0.0053655264922870555,0,16
12,17,0,0,11629,0,0,17,58,0,0,2,Romania,,0,0,0.005700871898054996,0,17
13,21,0,0,11625,0,0,21,64,0,0,2,Romania,,0,0,0.007042253521126761,0,21
14,24,0,0,11622,0,0,24,70,0,0,3,Romania,,0,0,0.008048289738430584,0,24
15,25,0,0,11621,0,0,25,73,0,0,3,Romania,,0,0,0.008383635144198525,0,25
16,27,0,0,11619,0,0,27,74,0,0,4,Romania,,0,0,0.009054325955734407,0,27
17,30,0,0,11616,0,0,30,78,0,0,4,Romania,,0,0,0.01006036217303823,0,30
18,34,0,0,11612,0,0,34,79,0,0,5,Romania,,0,0,0.011401743796109993,0,34
19,37,0,0,11609,0,0,37,82,0,0,5,Romania,,0,0,0.012407780013413815,0,37
20,38,1,0,11607,0,0,38,88,0,0,5,Romania,,0,0,0.012743125419181758,0,38
21,41,2,0,11603,0,0,41,89,0,0,5,Romania,,0,0,0.01374916163648558,0,41
22,47,2,0,11597,0,0,47,93,0,0,5,Romania,,0,0,0.015761234071093227,0,47
23,51,2,0,11593,0,0,51,96,0,0,5,Romania,,0,0,0.01710261569416499,0,51
24,55,2,0,11589,0,1,54,97,0,0,6,Romania,,0,5.058168942842691E-4,0.018108651911468814,0,55
25,58,2,0,11586,0,2,56,102,0,0,6,Romania,,0,0.0010116337885685382,0.018779342723004695,0,58
26,64,3,0,11579,0,4,60,106,0,0,7,Romania,,0,0.0020232675771370764,0.02012072434607646,0,64
27,68,4,0,11574,0,5,63,111,0,0,8,Romania,,0,0.0025290844714213456,0.02112676056338028,0,68
28,71,5,0,11570,0,5,66,115,0,0,8,Romania,,0,0.0025290844714213456,0.022132796780684104,0,71
29,70,7,0,11569,0,5,65,119,0,0,8,Ukraine,,0,0.0025290844714213456,0.021797451374916163,0,70
30,73,8,0,11565,0,6,67,124,0,0,8,Ukraine,,0,0.0030349013657056147,0.022468142186452045,0,73
31,75,9,0,11562,0,7,68,130,0,0,8,Ukraine,,0,0.0035407182599898838,0.022803487592219986,0,75
32,77,10,0,11559,0,9,68,137,0,0,8,Ukraine,,0,0.004552352048558422,0.022803487592219986,0,77
33,82,10,0,11554,0,9,73,142,0,0,8,Ukraine,,0,0.004552352048558422,0.02448021462105969,0,82
34,83,12,0,11551,0,9,74,146,0,0,8,Ukraine,,0,0.004552352048558422,0.02481556002682763,0,83
35,88,12,0,11546,0,10,78,151,0,0,8,Ukraine,,0,0.005058168942842691,0.026156941649899398,0,88
36,90,15,0,11541,0,10,80,151,0,0,9,Ukraine,,0,0.005058168942842691,0.02682763246143528,0,90
37,91,17,0,11538,0,11,80,155,0,0,10,Ukraine,,0,0.00556398583712696,0.02682763246143528,0,91
38,93,18,0,11535,0,14,79,159,0,0,10,Ukraine,,0,0.0070814365199797676,0.02649228705566734,0,93
39,93,19,1,11533,0,15,78,162,0,0,10,Ukraine,Romania,0,0.007587253414264037,0.026156941649899398,0,93
40,97,20,1,11528,1,18,78,168,0,0,12,Ukraine,Romania,1.4954389113204725E-4,0.009104704097116844,0.026156941649899398,0,97
41,100,20,3,11523,2,20,78,172,0,0,13,Ukraine,Ukraine,2.990877822640945E-4,0.010116337885685382,0.026156941649899398,0,100
42,98,23,3,11522,2,20,76,177,0,0,13,Ukraine,Ukraine,2.990877822640945E-4,0.010116337885685382,0.025486250838363516,0,98
43,99,26,3,11518,2,21,76,181,0,0,15,Ukraine,Ukraine,2.990877822640945E-4,0.010622154779969651,0.025486250838363516,0,99
44,104,29,3,11510,3,22,79,185,0,0,15,Ukraine,Ukraine,4.4863167339614175E-4,0.01112797167425392,0.02649228705566734,0,104
45,109,34,3,11500,4,26,79,188,0,0,18,Ukraine,Ukraine,5.98175564528189E-4,0.013151239251390997,0.02649228705566734,0,109
46,112,39,3,11492,5,27,80,190,0,0,18,Ukraine,Ukraine,7.477194556602363E-4,0.013657056145675266,0.02682763246143528,0,112
47,121,40,3,11482,5,30,86,194,0,0,18,Ukraine,Ukraine,7.477194556602363E-4,0.015174506828528073,0.028839704896042925,0,121
48,128,41,3,11474,7,32,89,196,0,0,18,Ukraine,Ukraine,0.0010468072379243307,0.01618614061709661,0.029845741113346747,0,128
49,132,44,3,11467,8,34,90,202,0,0,18,Ukraine,Ukraine,0.001196351129056378,0.01719777440566515,0.030181086519114688,0,132
50,133,48,3,11462,8,35,90,204,0,0,18,Ukraine,Ukraine,0.001196351129056378,0.017703591299949417,0.030181086519114688,0,133
51,140,51,3,11452,9,33,98,205,0,0,20,Ukraine,Ukraine,0.0013458950201884253,0.01669195751138088,0.03286384976525822,0,140
52,149,53,3,11441,10,35,104,208,0,0,21,Ukraine,Ukraine,0.0014954389113204726,0.017703591299949417,0.034875922199865864,0,149
53,153,56,3,11434,10,35,108,212,0,0,21,Ukraine,Ukraine,0.0014954389113204726,0.017703591299949417,0.03621730382293763,0,153
54,158,58,3,11427,11,35,112,220,0,0,22,Ukraine,Ukraine,0.0016449828024525197,0.017703591299949417,0.03755868544600939,0,158
55,164,60,3,11419,12,38,114,221,0,0,22,Ukraine,Ukraine,0.001794526693584567,0.019221041982802226,0.03822937625754527,0,164
56,169,64,5,11408,13,39,117,222,0,0,22,Ukraine,Ukraine,0.0019440705847166143,0.019726858877086494,0.039235412474849095,0,169
57,179,66,5,11396,15,41,123,229,0,0,22,Ukraine,Ukraine,0.0022431583669807087,0.020738492665655032,0.04124748490945674,0,179
58,186,71,5,11384,16,41,129,232,0,0,20,Ukraine,Ukraine,0.002392702258112756,0.020738492665655032,0.043259557344064385,0,186
59,197,76,5,11368,17,43,137,237,0,0,21,Ukraine,Ukraine,0.0025422461492448033,0.02175012645422357,0.04594232059020791,0,197
60,214,80,5,11347,18,55,141,240,0,0,21,Poland,Ukraine,0.0026917900403768506,0.0278199291856348,0.047283702213279676,0,214
61,237,84,5,11320,20,71,146,241,0,0,22,Poland,Ukraine,0.0029908778226409452,0.035912999494183105,0.04896042924211938,0,237
62,252,85,7,11302,23,77,152,247,0,0,24,Poland,Ukraine,0.0034395094960370867,0.03894790085988872,0.05097250167672703,1,251
63,253,88,9,11296,25,78,150,251,0,0,24,Poland,Ukraine,0.0037385972783011813,0.03945371775417299,0.05030181086519115,1,252
64,262,91,9,11284,30,79,153,253,0,0,24,Poland,Ukraine,0.004486316733961417,0.03995953464845726,0.05130784708249497,1,261
65,269,95,9,11273,32,80,157,259,0,0,24,Poland,Ukraine,0.004785404516225512,0.04046535154274153,0.052649228705566736,1,268
66,270,98,10,11268,32,81,157,261,0,0,24,Poland,Serbia,0.004785404516225512,0.0409711684370258,0.052649228705566736,1,269
67,274,104,10,11258,32,80,162,268,0,0,25,Poland,Ukraine,0.004785404516225512,0.04046535154274153,0.05432595573440644,1,273
68,278,109,10,11249,32,83,163,271,0,0,24,Poland,Ukraine,0.004785404516225512,0.041982802225594334,0.05466130114017438,1,277
69,281,115,10,11240,34,83,164,279,0,0,27,Poland,Ukraine,0.005084492298489607,0.041982802225594334,0.05499664654594232,4,277
70,284,122,10,11230,37,84,163,285,0,0,28,Poland,Ukraine,0.005533123971885748,0.042488619119878605,0.05466130114017438,5,279
71,286,127,10,11223,43,82,161,288,0,0,27,Poland,Ukraine,0.006430387318678032,0.041476985331310064,0.0539906103286385,4,282
72,293,129,11,11213,49,83,161,291,0,0,26,Poland,Ukraine,0.007327650665470316,0.041982802225594334,0.0539906103286385,4,289
73,292,138,11,11205,53,83,156,292,0,0,26,Poland,Ukraine,0.007925826229998505,0.041982802225594334,0.052313883299798795,4,288
