tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
0,1,0,0,11438,0,0,1,0,0,0,1,Romania,,0,0,3.3760972316002703E-4,0,1
1,1,0,0,11438,0,0,1,0,0,0,1,Romania,,0,0,3.3760972316002703E-4,0,1
2,2,0,0,11437,0,0,2,0,0,0,1,Romania,,0,0,6.752194463200541E-4,0,2
3,5,0,0,11434,0,0,5,0,0,0,2,Romania,,0,0,0.001688048615800135,0,5
4,9,0,0,11430,0,0,9,0,0,0,3,Romania,,0,0,0.003038487508440243,0,9
5,11,0,0,11428,0,0,11,0,0,0,3,Romania,,0,0,0.003713706954760297,0,11
6,13,0,0,11426,0,0,13,0,0,0,3,Romania,,0,0,0.004388926401080351,0,13
7,17,0,0,11422,0,0,17,0,0,0,3,Romania,,0,0,0.005739365293720459,0,17
8,25,0,0,11414,0,0,25,0,0,0,3,Romania,,0,0,0.008440243079000676,0,25
9,34,0,0,11405,0,0,34,0,0,0,3,Ukraine,,0,0,0.011478730587440918,0,34
10,40,0,0,11399,0,0,40,0,0,0,3,Ukraine,,0,0,0.01350438892640108,0,40
11,48,0,0,11391,0,0,48,0,0,0,4,Ukraine,,0,0,0.016205266711681297,0,48
12,59,0,0,11380,0,0,59,0,0,0,4,Ukraine,,0,0,0.019918973666441592,0,59
13,66,0,0,11373,0,0,66,0,0,0,4,Ukraine,,0,0,0.02228224172856178,0,66
14,73,0,0,11366,0,1,72,0,0,0,5,Ukraine,,0,4.987531172069825E-4,0.024307900067521943,0,73
15,78,0,0,11361,0,1,77,0,0,0,5,Ukraine,,0,4.987531172069825E-4,0.02599594868332208,0,78
16,81,0,0,11358,0,1,80,0,0,0,6,Ukraine,,0,4.987531172069825E-4,0.02700877785280216,0,81
17,87,0,0,11352,0,3,84,0,0,0,6,Ukraine,,0,0.0014962593516209476,0.02835921674544227,0,87
18,93,0,0,11346,0,5,88,0,0,0,6,Ukraine,,0,0.0024937655860349127,0.029709655638082377,0,93
19,98,0,0,11341,0,6,92,0,0,0,8,Ukraine,,0,0.0029925187032418953,0.031060094530722483,0,98
20,105,0,0,11334,0,6,99,0,0,0,8,Ukraine,,0,0.0029925187032418953,0.033423362592842676,0,105
21,113,1,0,11325,0,6,107,0,0,0,9,Ukraine,,0,0.0029925187032418953,0.03612424037812289,0,113
22,118,2,0,11319,0,6,112,0,0,0,9,Ukraine,,0,0.0029925187032418953,0.03781228899392303,0,118
23,123,3,0,11313,0,7,116,0,0,0,10,Ukraine,,0,0.003491271820448878,0.03916272788656313,0,123
24,125,3,0,11311,0,7,118,0,0,0,10,Ukraine,,0,0.003491271820448878,0.039837947332883185,0,125
25,129,3,0,11307,0,9,120,0,0,0,11,Ukraine,,0,0.004488778054862843,0.04051316677920324,0,129
26,128,3,1,11307,0,9,119,0,0,0,11,Ukraine,Ukraine,0,0.004488778054862843,0.04017555705604321,0,128
27,129,5,1,11304,0,9,120,0,0,0,12,Ukraine,Ukraine,0,0.004488778054862843,0.04051316677920324,0,129
28,139,8,1,11291,0,11,128,0,0,0,13,Ukraine,Ukraine,0,0.005486284289276808,0.04321404456448346,0,139
29,146,10,1,11282,0,12,134,0,0,0,15,Ukraine,Ukraine,0,0.0059850374064837905,0.04523970290344362,0,146
30,151,11,1,11276,0,13,138,0,0,0,17,Ukraine,Ukraine,0,0.006483790523690773,0.04659014179608373,0,151
31,151,16,1,11271,0,13,138,0,0,0,17,Ukraine,Ukraine,0,0.006483790523690773,0.04659014179608373,0,151
32,158,18,1,11262,0,16,142,0,0,0,17,Ukraine,Ukraine,0,0.00798004987531172,0.04794058068872384,0,158
33,160,20,1,11258,0,16,144,0,0,0,17,Ukraine,Ukraine,0,0.00798004987531172,0.048615800135043886,0,160
34,167,22,1,11249,0,17,150,0,0,0,17,Ukraine,Ukraine,0,0.008478802992518703,0.05064145847400405,0,167
35,171,24,1,11243,0,17,154,0,0,0,17,Ukraine,Ukraine,0,0.008478802992518703,0.05199189736664416,0,171
36,175,25,2,11237,0,17,158,0,0,0,17,Ukraine,Ukraine,0,0.008478802992518703,0.053342336259284265,0,175
37,177,27,2,11233,0,16,161,0,0,0,18,Ukraine,Ukraine,0,0.00798004987531172,0.05435516542876435,0,177
38,169,36,3,11231,0,15,154,0,0,0,18,Ukraine,Ukraine,0,0.007481296758104738,0.05199189736664416,0,169
39,168,43,3,11225,2,15,151,0,0,0,19,Ukraine,Ukraine,3.0902348578491963E-4,0.007481296758104738,0.05097906819716408,0,168
40,165,50,4,11220,2,15,148,0,0,0,19,Ukraine,Ukraine,3.0902348578491963E-4,0.007481296758104738,0.049966239027684,0,165
41,163,54,5,11217,2,15,146,0,0,0,19,Ukraine,Ukraine,3.0902348578491963E-4,0.007481296758104738,0.04929101958136394,0,163
42,170,57,5,11207,3,15,152,0,0,0,20,Ukraine,Bulgaria,4.635352286773795E-4,0.007481296758104738,0.05131667792032411,0,170
43,173,61,5,11200,3,16,154,0,0,0,21,Poland,Bulgaria,4.635352286773795E-4,0.00798004987531172,0.05199189736664416,0,173
44,179,66,6,11188,3,16,160,0,0,0,23,Poland,Ukraine,4.635352286773795E-4,0.00798004987531172,0.05401755570560432,0,179
45,182,71,6,11180,3,16,163,0,0,0,22,Poland,Ukraine,4.635352286773795E-4,0.00798004987531172,0.0550303848750844,0,182
46,186,75,6,11172,3,18,165,0,0,0,22,Poland,Ukraine,4.635352286773795E-4,0.008977556109725686,0.05570560432140446,0,186
47,187,79,6,11167,4,18,165,0,0,0,22,Poland,Ukraine,6.180469715698393E-4,0.008977556109725686,0.05570560432140446,0,187
48,181,87,9,11162,4,18,159,0,0,0,22,Poland,Ukraine,6.180469715698393E-4,0.008977556109725686,0.05367994598244429,0,181
49,191,91,10,11147,5,18,168,0,0,0,22,Poland,Ukraine,7.725587144622991E-4,0.008977556109725686,0.05671843349088454,0,191
50,202,94,10,11133,5,20,177,0,0,0,22,Poland,Ukraine,7.725587144622991E-4,0.00997506234413965,0.05975692099932478,0,202
51,215,104,12,11108,9,19,187,0,0,0,22,Poland,Ukraine,0.0013906056860321385,0.009476309226932668,0.06313301823092506,0,215
52,222,113,14,11090,14,17,191,0,0,0,22,Germany,Ukraine,0.0021631644004944375,0.008478802992518703,0.06448345712356515,0,222
53,232,118,15,11074,18,18,196,0,0,0,23,Germany,Ukraine,0.002781211372064277,0.008977556109725686,0.0661715057393653,0,232
54,251,119,15,11054,21,18,212,0,0,0,23,Germany,Ukraine,0.0032447466007416562,0.008977556109725686,0.07157326130992572,0,251
55,267,123,16,11033,26,17,224,0,0,0,23,Germany,Ukraine,0.0040173053152039555,0.008478802992518703,0.07562457798784605,0,267
56,286,126,17,11010,31,17,238,0,0,0,23,Germany,Ukraine,0.004789864029666254,0.008478802992518703,0.08035111411208642,0,286
57,297,130,18,10994,35,18,244,0,0,0,23,Germany,Ukraine,0.005407911001236094,0.008977556109725686,0.08237677245104659,0,297
58,302,135,18,10984,38,20,244,0,0,0,25,Germany,Ukraine,0.0058714462299134735,0.00997506234413965,0.08237677245104659,0,302
59,313,137,19,10970,43,23,247,0,0,0,25,Germany,Ukraine,0.006644004944375772,0.011471321695760598,0.08338960162052667,0,313
60,318,143,19,10959,46,24,248,0,0,0,25,Germany,Ukraine,0.007107540173053152,0.011970074812967581,0.0837272113436867,0,318
61,325,152,19,10943,49,26,250,0,0,0,24,Germany,Ukraine,0.007571075401730532,0.012967581047381545,0.08440243079000675,0,325
62,337,158,20,10924,49,32,256,0,0,0,22,Germany,Ukraine,0.007571075401730532,0.01596009975062344,0.08642808912896692,0,337
63,351,163,22,10903,49,38,264,0,0,0,22,Germany,Ukraine,0.007571075401730532,0.018952618453865335,0.08912896691424713,0,351
64,368,167,22,10882,54,41,273,0,0,0,22,Germany,Ukraine,0.00834363411619283,0.020448877805486283,0.09216745442268737,0,368
65,377,174,22,10866,57,45,275,0,0,0,21,Germany,Ukraine,0.00880716934487021,0.022443890274314215,0.09284267386900742,0,377
66,395,178,22,10844,62,50,283,0,0,0,21,Germany,Ukraine,0.009579728059332509,0.02493765586034913,0.09554355165428764,0,395
67,398,183,22,10836,62,51,285,0,0,0,20,Germany,Ukraine,0.009579728059332509,0.02543640897755611,0.0962187711006077,0,398
68,407,188,22,10822,66,53,288,0,0,0,20,Germany,Ukraine,0.01019777503090235,0.026433915211970076,0.09723160027008777,0,407
69,409,197,22,10811,70,53,286,0,0,0,20,Germany,Ukraine,0.010815822002472188,0.026433915211970076,0.09655638082376772,0,409
70,406,211,22,10800,72,54,280,0,0,0,21,Germany,Ukraine,0.011124845488257108,0.026932668329177057,0.09453072248480757,0,406
71,395,226,23,10795,73,56,266,0,0,0,21,Germany,Ukraine,0.011279357231149567,0.027930174563591023,0.08980418636056718,0,395
72,396,234,24,10785,78,59,259,0,0,0,21,Germany,Ukraine,0.012051915945611866,0.02942643391521197,0.087440918298447,0,396
73,400,241,25,10773,79,65,256,0,0,0,21,Germany,Ukraine,0.012206427688504327,0.032418952618453865,0.08642808912896692,0,400
74,399,249,26,10765,78,69,252,0,0,0,21,Germany,Ukraine,0.012051915945611866,0.0344139650872818,0.08507765023632681,0,399
75,404,253,26,10756,82,72,250,0,0,0,21,Germany,Ukraine,0.012669962917181705,0.035910224438902745,0.08440243079000675,0,404
76,401,263,30,10745,83,79,239,0,0,0,22,Germany,Poland,0.012824474660074166,0.03940149625935162,0.08068872383524646,0,401
77,424,268,32,10715,83,107,234,0,0,0,21,Germany,Poland,0.012824474660074166,0.05336658354114713,0.07900067521944631,0,424
78,447,276,36,10680,84,135,228,0,0,0,21,Germany,Poland,0.012978986402966625,0.06733167082294264,0.07697501688048616,0,447
79,443,282,36,10678,82,135,226,0,0,0,21,Germany,Poland,0.012669962917181705,0.06733167082294264,0.07629979743416611,0,443
80,424,303,37,10675,77,134,213,0,0,0,21,Germany,Poland,0.011897404202719406,0.06683291770573566,0.07191087103308576,0,424
81,412,315,41,10671,76,133,203,0,0,0,21,Turkey,Poland,0.011742892459826947,0.06633416458852869,0.06853477380148548,0,412
82,403,325,42,10669,74,132,197,0,0,0,20,France,Germany,0.011433868974042027,0.0658354114713217,0.06650911546252532,0,403
83,398,332,42,10667,73,131,194,0,0,0,19,France,Germany,0.011279357231149567,0.06533665835411472,0.06549628629304524,0,398
