tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
0,5,0,0,11472,0,0,5,0,0,0,2,Hungary,,0,0,0.001692047377326565,0,5
1,14,0,0,11463,0,1,13,0,0,0,3,Hungary,,0,4.967709885742673E-4,0.004399323181049069,0,14
2,21,0,0,11456,0,2,19,0,0,0,3,Hungary,,0,9.935419771485345E-4,0.006429780033840948,0,21
3,23,0,0,11454,0,2,21,0,0,0,4,Hungary,,0,9.935419771485345E-4,0.007106598984771574,0,23
4,27,0,0,11450,0,4,23,0,0,0,4,Romania,,0,0.001987083954297069,0.0077834179357022,0,27
5,31,0,0,11446,0,6,25,0,0,0,4,Romania,,0,0.0029806259314456036,0.008460236886632826,0,31
6,34,0,0,11443,0,6,28,0,0,0,4,Hungary,,0,0.0029806259314456036,0.009475465313028765,0,34
7,36,0,0,11441,0,6,30,0,0,0,5,Hungary,,0,0.0029806259314456036,0.01015228426395939,0,36
8,39,0,0,11438,0,7,32,0,0,0,5,Hungary,,0,0.003477396920019871,0.010829103214890017,0,39
9,40,0,0,11437,0,7,33,0,0,0,5,Hungary,,0,0.003477396920019871,0.01116751269035533,0,40
10,45,0,0,11432,0,9,36,0,0,0,7,Romania,,0,0.004470938897168405,0.012182741116751269,0,45
11,48,0,0,11429,0,9,39,0,0,0,7,Romania,,0,0.004470938897168405,0.013197969543147208,0,48
12,51,0,0,11426,0,9,42,0,0,0,8,Romania,,0,0.004470938897168405,0.014213197969543147,0,51
13,56,0,0,11421,0,9,47,0,0,0,8,Romania,,0,0.004470938897168405,0.015905245346869712,0,56
14,65,0,0,11412,0,9,56,0,0,0,8,Romania,,0,0.004470938897168405,0.01895093062605753,0,65
15,67,0,0,11410,0,9,58,0,0,0,8,Romania,,0,0.004470938897168405,0.019627749576988155,0,67
16,71,0,0,11406,0,10,61,0,0,0,9,Romania,,0,0.004967709885742673,0.020642978003384094,0,71
17,81,0,0,11396,0,10,71,0,0,0,9,Romania,,0,0.004967709885742673,0.024027072758037227,0,81
18,84,0,0,11393,0,10,74,0,0,0,9,Romania,,0,0.004967709885742673,0.025042301184433163,0,84
19,90,0,0,11387,0,10,80,0,0,0,10,Romania,,0,0.004967709885742673,0.02707275803722504,0,90
20,97,2,0,11378,0,13,84,0,0,0,12,Romania,,0,0.006458022851465474,0.028426395939086295,0,97
21,104,4,0,11369,0,14,90,0,0,0,13,Poland,,0,0.006954793840039742,0.030456852791878174,0,104
22,113,4,0,11360,0,15,98,0,0,0,15,Poland,,0,0.007451564828614009,0.033164128595600674,0,113
23,120,6,0,11351,0,15,105,0,0,0,15,Poland,,0,0.007451564828614009,0.03553299492385787,0,120
24,127,8,0,11342,0,13,114,0,0,0,15,Poland,,0,0.006458022851465474,0.03857868020304569,0,127
25,133,12,0,11332,0,13,120,0,0,0,16,Poland,,0,0.006458022851465474,0.04060913705583756,0,133
26,142,12,0,11323,0,14,128,0,0,0,16,Poland,,0,0.006954793840039742,0.04331641285956007,0,142
27,144,13,1,11319,0,14,130,0,0,0,16,Poland,Serbia,0,0.006954793840039742,0.043993231810490696,0,144
28,145,14,1,11317,0,14,131,0,0,0,16,Poland,Serbia,0,0.006954793840039742,0.04433164128595601,0,145
29,144,17,1,11315,0,14,130,0,0,0,16,Poland,Serbia,0,0.006954793840039742,0.043993231810490696,0,144
30,145,17,2,11313,0,14,131,0,0,0,16,Poland,Serbia,0,0.006954793840039742,0.04433164128595601,0,145
31,148,19,2,11308,0,14,134,0,0,0,16,Poland,Hungary,0,0.006954793840039742,0.045346869712351946,0,148
32,148,21,2,11306,0,13,135,0,0,0,16,Poland,Serbia,0,0.006458022851465474,0.04568527918781726,0,148
33,149,23,2,11303,0,13,136,0,0,0,16,Poland,Serbia,0,0.006458022851465474,0.046023688663282575,0,149
34,152,25,3,11297,2,12,138,0,0,0,18,Poland,Serbia,3.0726686126901216E-4,0.005961251862891207,0.046700507614213196,0,152
35,153,30,3,11291,2,10,141,0,0,0,17,Poland,Serbia,3.0726686126901216E-4,0.004967709885742673,0.047715736040609136,0,153
36,161,31,3,11282,4,10,147,0,0,0,17,Poland,Serbia,6.145337225380243E-4,0.004967709885742673,0.049746192893401014,0,161
37,166,34,3,11274,6,10,150,0,0,0,17,Poland,Serbia,9.218005838070364E-4,0.004967709885742673,0.050761421319796954,0,166
38,174,37,3,11263,8,10,156,0,0,0,17,Poland,Serbia,0.0012290674450760486,0.004967709885742673,0.05279187817258883,0,174
39,193,42,3,11239,10,10,173,0,0,0,17,Poland,Serbia,0.0015363343063450607,0.004967709885742673,0.05854483925549915,0,193
40,210,45,3,11219,12,10,188,0,0,0,17,Poland,Serbia,0.0018436011676140728,0.004967709885742673,0.06362098138747885,0,210
41,222,48,4,11203,12,10,200,0,0,0,17,Germany,Serbia,0.0018436011676140728,0.004967709885742673,0.0676818950930626,0,222
42,242,50,5,11180,13,10,219,0,0,0,17,Germany,Serbia,0.001997234598248579,0.004967709885742673,0.07411167512690356,0,242
43,251,54,7,11165,14,10,227,0,0,0,18,Germany,Serbia,0.002150868028883085,0.004967709885742673,0.07681895093062606,0,251
44,258,61,7,11151,14,10,234,0,0,0,19,Germany,Czechia,0.002150868028883085,0.004967709885742673,0.07918781725888324,0,258
