tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
54,218,89,9,11131,17,1,200,596,230,0,19,Poland,Ukraine,0.0026182042199291546,0.003676470588235294,0.042716787697565144,0,218
55,220,94,10,11123,17,1,202,606,233,0,19,Turkey,Ukraine,0.0026182042199291546,0.003676470588235294,0.043143955574540795,0,220
56,226,98,11,11112,21,1,204,618,237,0,19,Turkey,Ukraine,0.0032342522716771907,0.003676470588235294,0.043571123451516446,0,226
57,234,100,11,11102,23,1,210,632,240,0,19,Turkey,Ukraine,0.003542276297551209,0.003676470588235294,0.0448526270824434,0,234
58,242,103,11,11091,24,1,217,642,245,0,19,Turkey,Ukraine,0.003696288310488218,0.003676470588235294,0.046347714651858184,0,242
59,245,112,11,11079,29,1,215,657,248,0,19,Turkey,Ukraine,0.004466348375173263,0.003676470588235294,0.045920546774882526,0,245
60,256,116,11,11064,29,1,226,665,249,0,20,Turkey,Ukraine,0.004466348375173263,0.003676470588235294,0.04826997009824861,0,256
61,293,121,13,11020,32,1,260,681,255,0,20,Turkey,Ukraine,0.0049283844139842905,0.003676470588235294,0.055531824006834686,0,293
62,322,129,14,10982,33,0,289,691,259,0,21,Turkey,Ukraine,0.0050823964269213,0,0.06172575822298163,0,322
63,334,135,14,10964,35,1,298,703,263,0,21,Turkey,Ukraine,0.005390420452795318,0.003676470588235294,0.06364801366937206,0,334
64,351,138,14,10944,38,1,312,712,265,0,20,Turkey,Ukraine,0.005852456491606346,0.003676470588235294,0.06663818880820162,0,351
65,364,142,14,10927,42,1,321,724,270,0,21,Turkey,Ukraine,0.006468504543354381,0.003676470588235294,0.06856044425459205,0,364
66,382,148,14,10903,47,1,334,731,276,0,22,Germany,Ukraine,0.007238564608039427,0.003676470588235294,0.07133703545493379,0,382
67,395,154,14,10884,52,1,342,743,280,0,22,Germany,Ukraine,0.008008624672724472,0.003676470588235294,0.0730457069628364,0,395
68,407,155,15,10870,54,2,351,751,282,0,23,Germany,Ukraine,0.008316648698598491,0.007352941176470588,0.07496796240922683,0,407
69,419,163,16,10849,59,2,358,761,285,0,23,Germany,Ukraine,0.009086708763283536,0.007352941176470588,0.0764630499786416,1,418
70,428,176,17,10826,63,2,363,769,290,0,24,Germany,Ukraine,0.009702756815031572,0.007352941176470588,0.07753096967108074,1,427
71,440,183,18,10806,63,3,374,776,294,0,24,Germany,Ukraine,0.009702756815031572,0.011029411764705883,0.07988039299444681,1,439
72,449,188,18,10792,65,3,381,784,298,0,24,Germany,Ukraine,0.01001078084090559,0.011029411764705883,0.0813754805638616,1,448
73,465,190,18,10774,68,3,394,798,302,0,24,Germany,Ukraine,0.010472816879716618,0.011029411764705883,0.08415207176420333,1,464
74,467,197,18,10765,69,3,395,802,305,0,24,Germany,Ukraine,0.010626828892653628,0.011029411764705883,0.08436565570269115,0,467
75,480,200,18,10749,74,4,402,811,305,0,24,Germany,Ukraine,0.011396888957338673,0.014705882352941176,0.08586074327210594,0,480
76,482,205,18,10742,77,4,401,820,308,0,24,Germany,Ukraine,0.011858924996149699,0.014705882352941176,0.0856471593336181,0,482
77,483,209,21,10734,77,4,402,827,312,0,24,Germany,Ukraine,0.011858924996149699,0.014705882352941176,0.08586074327210594,0,483
78,486,215,21,10725,78,4,404,836,317,0,24,Germany,Ukraine,0.012012937009086708,0.014705882352941176,0.08628791114908159,0,486
79,475,232,21,10719,77,4,394,847,320,0,24,Germany,Ukraine,0.011858924996149699,0.014705882352941176,0.08415207176420333,1,474
80,463,253,23,10708,77,4,382,861,323,0,24,Germany,Ukraine,0.011858924996149699,0.014705882352941176,0.08158906450234943,2,461
81,455,269,24,10699,77,4,374,869,324,0,24,Germany,Ukraine,0.011858924996149699,0.014705882352941176,0.07988039299444681,2,453
82,456,278,26,10687,79,3,374,875,328,0,24,Germany,Ukraine,0.012166949022023718,0.011029411764705883,0.07988039299444681,2,454
83,454,288,28,10677,81,3,370,889,336,0,24,Germany,Ukraine,0.012474973047897736,0.011029411764705883,0.07902605724049551,1,453
84,457,300,28,10662,80,3,374,893,344,0,24,Germany,Ukraine,0.012320961034960727,0.011029411764705883,0.07988039299444681,2,455
85,451,312,30,10654,82,3,366,899,350,0,24,Germany,Ukraine,0.012628985060834746,0.011029411764705883,0.07817172148654421,1,450
86,442,329,30,10646,83,3,356,911,353,0,24,Germany,Ukraine,0.012782997073771753,0.011029411764705883,0.07603588210166595,2,440
87,435,342,32,10638,83,2,350,917,355,0,23,Germany,Ukraine,0.012782997073771753,0.007352941176470588,0.074754378470739,2,433
88,428,356,32,10631,81,2,345,927,358,0,24,Germany,Ukraine,0.012474973047897736,0.007352941176470588,0.07368645877829987,3,425
